K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
203961_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	351.65	474.0	315.1	473.4	535.15
203962_s_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	351.65	388.05	315.1	473.4	535.15
203963_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	351.65	388.05	315.1	473.4	535.15
203964_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	351.65	388.05	315.1	473.4	535.15
203965_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	351.65	388.05	315.1	473.4	535.15
203966_s_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	351.65	388.05	315.1	473.4	535.15
203967_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	351.65	388.05	315.1	473.4	535.15
203968_s_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	351.65	388.05	315.1	473.4	535.15
203969_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	1103.325	388.05	315.1	473.4	535.15
203970_s_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	405.9	388.05	315.1	473.4	535.15
203971_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	405.9	388.05	315.1	473.4	535.15
203972_s_at	697.65	454.04999999999995	821.0	404.15	469.54999999999995	405.9	388.05	315.1	473.4	535.15
203973_s_at	649.45	454.04999999999995	821.0	404.15	469.54999999999995	405.9	388.05	315.1	473.4	535.15
203974_at	649.45	454.04999999999995	821.0	404.15	469.54999999999995	405.9	388.05	315.1	473.4	535.15
203975_s_at	649.45	454.04999999999995	821.0	404.15	469.54999999999995	405.9	388.05	315.1	473.4	535.15
203976_s_at	649.45	454.04999999999995	821.0	404.15	10304.55	405.9	388.05	346.5	210.8	535.15
203977_at	649.45	454.04999999999995	821.0	404.15	10304.55	405.9	388.05	346.5	210.8	535.15
203978_at	649.45	454.04999999999995	821.0	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203979_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203980_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203981_s_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203982_s_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203983_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203984_s_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203985_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203986_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	388.05	346.5	210.8	485.5
203987_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	407.0	346.5	210.8	485.5
203988_s_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	407.0	346.5	210.8	485.5
203989_x_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	407.0	346.5	210.8	485.5
203990_s_at	649.45	454.04999999999995	434.65	404.15	10304.55	405.9	407.0	346.5	210.8	485.5
203991_s_at	649.45	454.04999999999995	434.65	15917.65	10304.55	405.9	407.0	346.5	210.8	485.5
203992_s_at	649.45	454.04999999999995	434.65	15917.65	10304.55	405.9	407.0	346.5	210.8	485.5
203993_x_at	649.45	454.04999999999995	434.65	15917.65	10304.55	405.9	407.0	346.5	210.8	485.5
203994_s_at	649.45	454.04999999999995	434.65	15917.65	10304.55	405.9	407.0	346.5	210.8	97.9
203995_at	649.45	454.04999999999995	434.65	15917.65	10304.55	405.9	407.0	346.5	210.8	97.9
203996_s_at	649.45	454.04999999999995	434.65	15917.65	10304.55	754.4	407.0	346.5	210.8	97.9
203997_at	649.45	454.04999999999995	434.65	15917.65	337.25	754.4	407.0	346.5	210.8	97.9
203998_s_at	649.45	454.04999999999995	434.65	15917.65	337.25	754.4	407.0	346.5	210.8	97.9
203999_at	649.45	454.04999999999995	434.65	15917.65	337.25	754.4	407.0	346.5	210.8	97.9
204000_at	649.45	454.04999999999995	434.65	15917.65	337.25	754.4	407.0	346.5	210.8	97.9
204001_at	7734.15	454.04999999999995	434.65	15917.65	337.25	754.4	407.0	346.5	210.8	97.9
204002_s_at	7734.15	454.04999999999995	434.65	15917.65	337.25	754.4	407.0	346.5	210.8	97.9
204003_s_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	407.0	346.5	210.8	97.9
204004_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	407.0	346.5	210.8	97.9
204005_s_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	407.0	346.5	210.8	194.0
204006_s_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	407.0	346.5	210.8	719.65
204007_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	407.0	346.5	210.8	719.65
204008_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	407.0	346.5	210.8	719.65
204009_s_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	242.0	4505.65	1299.9	719.65
204010_s_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204011_at	7734.15	454.04999999999995	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204012_s_at	7734.15	365.4	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204013_s_at	7734.15	365.4	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204014_at	7734.15	365.4	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204015_s_at	7734.15	365.4	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204016_at	7734.15	365.4	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204017_at	7734.15	365.4	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204018_x_at	7734.15	365.4	530.15	15917.65	337.25	754.4	456.9	4505.65	382.3	719.65
204019_s_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204020_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204021_s_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204022_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204023_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204024_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204025_s_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204026_s_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204027_s_at	7734.15	365.4	530.15	15917.65	225.15	754.4	456.9	4505.65	382.3	719.65
204028_s_at	7734.15	365.4	530.15	15917.65	225.15	5625.55	456.9	4505.65	382.3	719.65
204029_at	7734.15	365.4	530.15	4931.15	225.15	700.15	456.9	4505.65	382.3	719.65
204030_s_at	7734.15	365.4	5002.65	1007.65	225.15	700.15	456.9	4505.65	382.3	719.65
204031_s_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	4505.65	382.3	226.05
204032_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	4505.65	382.3	226.05
204033_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	4505.65	7734.15	226.05
204034_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	4505.65	7734.15	226.05
204035_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	4505.65	878.025	226.05
204036_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	4505.65	878.025	226.05
204037_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	4505.65	878.025	226.05
204038_s_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	4505.65	878.025	226.05
204039_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	417.4	878.025	226.05
204040_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	417.4	878.025	226.05
204041_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	417.4	878.025	226.05
204042_at	7734.15	365.4	695.8	1007.65	225.15	700.15	456.9	417.4	878.025	226.05
204043_at	61.9	365.4	695.8	1007.65	225.15	700.15	456.9	417.4	878.025	226.05
204044_at	12692.15	365.4	695.8	1007.65	225.15	700.15	456.9	417.4	878.025	226.05
204045_at	12692.15	365.4	695.8	1007.65	225.15	700.15	456.9	417.4	878.025	226.05
204046_at	12692.15	365.4	695.8	1007.65	902.05	700.15	456.9	417.4	878.025	226.05
204047_s_at	12692.15	365.4	695.8	1007.65	902.05	700.15	159.0	417.4	878.025	226.05
204048_s_at	12692.15	365.4	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	226.05
204049_s_at	12692.15	365.4	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	226.05
204050_s_at	12692.15	365.4	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	226.05
204051_s_at	12692.15	365.4	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	295.5
204052_s_at	12692.15	365.4	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204053_x_at	12692.15	365.4	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204054_at	12692.15	365.4	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204055_s_at	12692.15	365.4	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204056_s_at	12692.15	5175.15	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204057_at	12692.15	466.54999999999995	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204058_at	12692.15	466.54999999999995	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204059_s_at	12692.15	466.54999999999995	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204060_s_at	12692.15	466.54999999999995	695.8	1007.65	902.05	700.15	852.8	417.4	485.75	213.75
204061_at	12692.15	466.54999999999995	1286.65	596.25	902.05	700.15	852.8	417.4	485.75	213.75
204062_s_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	213.75
204063_s_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	213.75
204064_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	213.75
204065_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	213.75
204066_s_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	213.75
204067_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	213.75
204068_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	213.75
204069_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	213.75
204070_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	242.25
204071_s_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	242.25
204072_s_at	12692.15	466.54999999999995	395.9	489.25	902.05	700.15	852.8	521.4	485.75	242.25
204073_s_at	12692.15	466.54999999999995	395.9	489.25	350.4	700.15	852.8	521.4	485.75	242.25
204074_s_at	12692.15	466.54999999999995	523.9	489.25	350.4	700.15	852.8	521.4	485.75	242.25
204075_s_at	12692.15	466.54999999999995	523.9	489.25	350.4	700.15	852.8	521.4	485.75	242.25
204076_at	12692.15	466.54999999999995	523.9	489.25	350.4	257.25	852.8	890.65	485.75	242.25
204077_x_at	12692.15	466.54999999999995	523.9	489.25	350.4	257.25	459.79999999999995	890.65	485.75	242.25
204078_at	12692.15	466.54999999999995	523.9	489.25	350.4	257.25	459.79999999999995	890.65	154.5	242.25
204079_at	12692.15	466.54999999999995	523.9	489.25	350.4	257.25	459.79999999999995	890.65	769.65	242.25
204080_at	12692.15	466.54999999999995	523.9	489.25	350.4	257.25	459.79999999999995	890.65	769.65	242.25
204081_at	12692.15	466.54999999999995	523.9	475.4	350.4	257.25	459.79999999999995	890.65	769.65	242.25
204082_at	12692.15	466.54999999999995	523.9	475.4	350.4	257.25	459.79999999999995	890.65	769.65	242.25
204083_s_at	12692.15	466.54999999999995	523.9	475.4	350.4	257.25	459.79999999999995	890.65	769.65	242.25
204084_s_at	546.25	466.54999999999995	523.9	475.4	350.4	257.25	459.79999999999995	890.65	769.65	242.25
204085_s_at	546.25	466.54999999999995	523.9	475.4	350.4	257.25	459.79999999999995	890.65	769.65	242.25
204086_at	546.25	466.54999999999995	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	242.25
204087_s_at	546.25	466.54999999999995	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	242.25
204088_at	546.25	466.54999999999995	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	242.25
204089_x_at	546.25	466.54999999999995	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	242.25
204090_at	546.25	466.54999999999995	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	242.25
204091_at	546.25	466.54999999999995	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204092_s_at	546.25	10304.55	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204093_at	546.25	10304.55	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204094_s_at	546.25	10304.55	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204095_s_at	546.25	10304.55	523.9	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204096_s_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204097_s_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204098_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204099_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204100_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204101_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204102_s_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204103_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	769.65	342.15
204104_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	6635.4	342.15
204105_s_at	546.25	10304.55	473.15	475.4	395.65	257.25	459.79999999999995	890.65	1023.5	342.15
204106_at	546.25	10304.55	473.15	261.65	395.65	257.25	459.79999999999995	1626.5500000000002	1023.5	342.15
204107_at	546.25	10304.55	473.15	261.65	395.65	4386.775	459.79999999999995	513.15	1023.5	905.75
204108_at	546.25	10304.55	473.15	261.65	395.65	7734.15	459.79999999999995	513.15	1023.5	905.75
204109_s_at	546.25	10304.55	473.15	261.65	395.65	596.25	459.79999999999995	513.15	1023.5	905.75
204110_at	546.25	10304.55	473.15	261.65	395.65	596.25	459.79999999999995	513.15	1023.5	905.75
204111_at	546.25	10304.55	473.15	261.65	395.65	596.25	137.55	513.15	1023.5	905.75
204112_s_at	546.25	10304.55	473.15	261.65	395.65	596.25	137.55	513.15	1023.5	905.75
204113_at	546.25	10304.55	473.15	261.65	395.65	596.25	137.55	513.15	1023.5	905.75
204114_at	546.25	10304.55	473.15	261.65	395.65	596.25	137.55	513.15	1023.5	905.75
204115_at	546.25	10304.55	473.15	261.65	395.65	596.25	137.55	513.15	1023.5	905.75
204116_at	546.25	10304.55	473.15	261.65	395.65	596.25	137.55	513.15	1023.5	905.75
204117_at	546.25	10304.55	473.15	261.65	379.15	596.25	137.55	513.15	1023.5	905.75
204118_at	546.25	10304.55	473.15	261.65	379.15	596.25	137.55	513.15	1023.5	905.75
204119_s_at	546.25	10304.55	473.15	261.65	379.15	596.25	137.55	513.15	1023.5	905.75
204120_s_at	546.25	10304.55	473.15	261.65	379.15	596.25	137.55	513.15	1023.5	905.75
204121_at	546.25	10304.55	473.15	261.65	379.15	596.25	137.55	513.15	1023.5	905.75
204122_at	546.25	10304.55	330.9	261.65	379.15	596.25	137.55	513.15	1023.5	905.75
204123_at	546.25	10304.55	330.9	261.65	379.15	596.25	137.55	513.15	1023.5	905.75
204124_at	546.25	10304.55	330.9	261.65	379.15	596.25	137.55	513.15	1023.5	905.75
204125_at	546.25	10304.55	330.9	261.65	379.15	596.25	137.55	513.15	1023.5	389.15
204126_s_at	523.9	10304.55	330.9	261.65	379.15	596.25	137.55	513.15	1023.5	389.15
204127_at	523.9	10304.55	330.9	7734.15	379.15	596.25	137.55	513.15	1023.5	389.15
204128_s_at	523.9	10304.55	330.9	224.55	379.15	596.25	137.55	513.15	1023.5	389.15
204129_at	523.9	10304.55	330.9	224.55	379.15	596.25	137.55	513.15	1023.5	389.15
204130_at	523.9	10304.55	330.9	224.55	379.15	596.25	137.55	513.15	1023.5	389.15
204131_s_at	523.9	10304.55	330.9	224.55	1155.4	596.25	137.55	513.15	2978.95	389.15
204132_s_at	523.9	10304.55	330.9	224.55	1155.4	596.25	137.55	513.15	238.4	389.15
204133_at	523.9	10304.55	330.9	224.55	1155.4	596.25	137.55	513.15	238.4	389.15
204134_at	523.9	10304.55	330.9	224.55	1155.4	596.25	176.8	513.15	238.4	389.15
204135_at	523.9	10304.55	330.9	224.55	1155.4	596.25	90.8	513.15	238.4	389.15
204136_at	523.9	10304.55	330.9	224.55	1155.4	596.25	168.0	289.65	238.4	389.15
204137_at	523.9	10304.55	330.9	224.55	1155.4	596.25	95.5	289.65	238.4	389.15
204138_s_at	523.9	10304.55	330.9	224.55	1155.4	974.4	318.0	289.65	238.4	389.15
204139_x_at	523.9	10304.55	330.9	224.55	1155.4	974.4	372.3	289.65	238.4	389.15
204140_at	523.9	10304.55	330.9	224.55	1155.4	974.4	180.0	289.65	238.4	389.15
204141_at	523.9	10304.55	330.9	224.55	1155.4	974.4	146.0	289.65	238.4	780.3
204142_at	523.9	10304.55	330.9	224.55	1155.4	974.4	115.3	289.65	238.4	780.3
204143_s_at	523.9	10304.55	330.9	224.55	1155.4	974.4	126.3	289.65	238.4	780.3
204144_s_at	523.9	10304.55	330.9	224.55	1155.4	974.4	197.0	289.65	238.4	780.3
204145_at	523.9	10304.55	330.9	224.55	1155.4	974.4	223.8	289.65	238.4	780.3
204146_at	523.9	10304.55	297.65	224.55	1155.4	974.4	90.0	289.65	238.4	780.3
204147_s_at	523.9	10304.55	297.65	224.55	1155.4	974.4	163.0	289.65	238.4	780.3
204148_s_at	523.9	10304.55	297.65	175.4	1155.4	974.4	145.8	289.65	238.4	780.3
204149_s_at	523.9	1022.8	297.65	175.4	1155.4	974.4	134.0	289.65	238.4	780.3
204150_at	523.9	1022.8	297.65	175.4	1155.4	974.4	206.5	289.65	238.4	780.3
204151_x_at	523.9	1022.8	297.65	175.4	1155.4	974.4	301.8	289.65	238.4	780.3
204152_s_at	523.9	1022.8	297.65	175.4	610.9	974.4	371.3	289.65	457.5	780.3
204153_s_at	523.9	1022.8	297.65	175.4	610.9	974.4	475.0	289.65	457.5	780.3
204154_at	523.9	1022.8	297.65	175.4	610.9	974.4	100.0	289.65	457.5	780.3
204155_s_at	523.9	1022.8	297.65	175.4	610.9	974.4	337.5	289.65	457.5	780.3
204156_at	523.9	1022.8	297.65	175.4	610.9	974.4	252.5	289.65	457.5	780.3
204157_s_at	523.9	1022.8	297.65	175.4	610.9	974.4	180.8	289.65	457.5	12780.9
204158_s_at	523.9	1022.8	297.65	175.4	610.9	974.4	467.5	289.65	457.5	12780.9
204159_at	523.9	1022.8	297.65	175.4	610.9	974.4	100.8	289.65	457.5	12780.9
204160_s_at	523.9	1022.8	297.65	175.4	610.9	974.4	161.3	289.65	457.5	12780.9
204161_s_at	523.9	1022.8	297.65	88.5	610.9	974.4	1602.8000000000002	289.65	457.5	12780.9
204162_at	560.9	1022.8	297.65	404.0	610.9	974.4	810.4	289.65	457.5	12780.9
204163_at	560.9	1022.8	297.65	404.0	610.9	974.4	810.4	289.65	457.5	12780.9
204164_at	560.9	1022.8	297.65	404.0	610.9	974.4	810.4	289.65	457.5	12780.9
204165_at	560.9	1022.8	297.65	404.0	610.9	974.4	810.4	289.65	457.5	12780.9
204166_at	560.9	1022.8	297.65	404.0	610.9	974.4	810.4	310.15	457.5	12780.9
204167_at	560.9	1022.8	297.65	404.0	610.9	974.4	810.4	310.15	457.5	12780.9
204168_at	560.9	1022.8	297.65	404.0	610.9	974.4	810.4	310.15	457.5	12780.9
204169_at	560.9	1022.8	9064.4	404.0	610.9	974.4	810.4	310.15	457.5	12780.9
204170_s_at	560.9	1022.8	543.9	404.0	610.9	974.4	810.4	310.15	457.5	12780.9
204171_at	560.9	1022.8	543.9	404.0	610.9	974.4	810.4	310.15	457.5	12780.9
204172_at	560.9	1022.8	543.9	404.0	610.9	974.4	810.4	310.15	457.5	12780.9
204173_at	560.9	1022.8	543.9	404.0	610.9	974.4	810.4	310.15	6217.65	12780.9
204174_at	560.9	1022.8	543.9	404.0	610.9	974.4	810.4	310.15	661.4	12780.9
204175_at	560.9	1022.8	543.9	404.0	424.15	974.4	810.4	310.15	661.4	12780.9
204176_at	560.9	1022.8	543.9	404.0	424.15	974.4	810.4	310.15	661.4	12780.9
204177_s_at	560.9	1022.8	543.9	404.0	424.15	974.4	810.4	310.15	661.4	12780.9
204178_s_at	560.9	1022.8	543.9	404.0	424.15	974.4	810.4	310.15	661.4	547.9
204179_at	560.9	1022.8	543.9	404.0	424.15	974.4	810.4	310.15	661.4	547.9
204180_s_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204181_s_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204182_s_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204183_s_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204184_s_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204185_x_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204186_s_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204187_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204188_s_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204189_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204190_at	560.9	1022.8	543.9	404.0	424.15	592.4	810.4	387.25	661.4	547.9
204191_at	560.9	1022.8	543.9	407.0	424.15	592.4	810.4	387.25	661.4	547.9
204192_at	560.9	1022.8	543.9	407.0	424.15	592.4	810.4	387.25	661.4	547.9
204193_at	560.9	1022.8	543.9	407.0	424.15	592.4	810.4	387.25	661.4	547.9
204194_at	560.9	1022.8	543.9	407.0	424.15	592.4	810.4	387.25	661.4	547.9
204195_s_at	560.9	1022.8	543.9	407.0	424.15	592.4	810.4	387.25	661.4	547.9
204196_x_at	722.8	1022.8	543.9	407.0	870.9	592.4	810.4	387.25	661.4	547.9
204197_s_at	722.8	1022.8	543.9	407.0	870.9	592.4	618.65	387.25	661.4	7144.15
204198_s_at	722.8	1022.8	543.9	407.0	870.9	592.4	618.65	387.25	661.4	846.8
204199_at	722.8	1022.8	543.9	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204200_s_at	722.8	1022.8	543.9	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204201_s_at	722.8	1022.8	543.9	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204202_at	722.8	1022.8	543.9	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204203_at	722.8	1022.8	543.9	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204204_at	722.8	1022.8	543.9	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204205_at	722.8	6724.75	543.9	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204206_at	722.8	432.65	543.9	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204207_s_at	722.8	432.65	308.5	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204208_at	722.8	432.65	3933.8	407.0	870.9	592.4	618.65	387.25	661.4	485.5
204209_at	722.8	432.65	3933.8	407.0	870.9	592.4	618.65	2831.15	661.4	485.5
204210_s_at	722.8	432.65	3933.8	407.0	870.9	592.4	618.65	5198.65	661.4	485.5
204211_x_at	722.8	432.65	3933.8	407.0	870.9	592.4	618.65	534.45	661.4	485.5
204212_at	722.8	432.65	3933.8	407.0	870.9	592.4	618.65	534.45	661.4	485.5
204213_at	722.8	432.65	3933.8	407.0	870.9	592.4	618.65	534.45	336.8	3679.9
204214_s_at	722.8	432.65	3933.8	407.0	870.9	592.4	618.65	534.45	336.8	3679.9
204215_at	722.8	432.65	3933.8	407.0	813.3	592.4	618.65	534.45	336.8	3679.9
204216_s_at	722.8	432.65	3933.8	407.0	813.3	592.4	618.65	534.45	336.8	3679.9
204217_s_at	722.8	432.65	3933.8	407.0	813.3	592.4	163.5	534.45	336.8	3679.9
204218_at	722.8	432.65	3933.8	407.0	813.3	592.4	282.0	534.45	336.8	3679.9
204219_s_at	722.8	432.65	3933.8	407.0	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204220_at	722.8	432.65	3933.8	407.0	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204221_x_at	722.8	432.65	3933.8	407.0	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204222_s_at	722.8	432.65	3933.8	407.0	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204223_at	722.8	432.65	3933.8	407.0	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204224_s_at	722.8	432.65	3933.8	407.0	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204225_at	722.8	432.65	3933.8	666.8	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204226_at	722.8	432.65	3933.8	666.8	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204227_s_at	722.8	432.65	3933.8	666.8	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204228_at	722.8	432.65	3933.8	666.8	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204229_at	722.8	432.65	3933.8	666.8	813.3	592.4	987.4749999999999	534.45	336.8	3679.9
204230_s_at	722.8	432.65	3933.8	666.8	813.3	324.3	987.4749999999999	534.45	336.8	3679.9
204231_s_at	722.8	432.65	3933.8	666.8	813.3	3933.8	987.4749999999999	534.45	336.8	3679.9
204232_at	722.8	432.65	3933.8	666.8	813.3	3933.8	987.4749999999999	534.45	336.8	3679.9
204233_s_at	722.8	432.65	3933.8	666.8	3366.0	3933.8	987.4749999999999	534.45	336.8	3679.9
204234_s_at	722.8	432.65	3933.8	666.8	548.05	3933.8	987.4749999999999	534.45	336.8	3679.9
204235_s_at	722.8	432.65	3933.8	666.8	548.05	3933.8	987.4749999999999	534.45	336.8	3679.9
204236_at	722.8	432.65	3933.8	666.8	548.05	3933.8	987.4749999999999	534.45	336.8	3679.9
204237_at	722.8	432.65	3933.8	666.8	548.05	3933.8	987.4749999999999	534.45	336.8	3679.9
204238_s_at	722.8	432.65	3933.8	666.8	548.05	3933.8	987.4749999999999	534.45	336.8	3679.9
204239_s_at	722.8	432.65	3933.8	666.8	548.05	3933.8	987.4749999999999	534.45	336.8	1524.55
