K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
200044_at	304.55	358.0	228.55	696.925	187.55	102.05	128.15	641.8	239.9	102.05
200045_at	402.65	221.15	381.0	1050.15	187.55	102.05	128.15	315.8	239.9	102.05
200046_at	402.65	221.15	531.0	8325.5	7041.299999999999	102.05	556.0	479.0	239.9	516.3
200047_s_at	402.65	221.15	442.8	8325.5	7041.299999999999	102.05	469.3	132.25	192.9	390.3
200048_s_at	402.65	221.15	1501.3	8325.5	612.325	102.05	128.15	132.25	192.9	150.55
200049_at	696.925	221.15	379.5	6100.9	612.325	102.05	128.15	132.25	192.9	150.55
200050_at	696.925	221.15	136.9	6100.9	612.325	102.05	128.15	132.25	192.9	150.55
200051_at	696.925	221.15	136.9	6100.9	612.325	102.05	128.15	132.25	192.9	581.15
200052_s_at	696.925	243.3	136.9	6100.9	612.325	208.5	128.15	154.25	78.4	581.15
200053_at	696.925	351.5	136.9	6100.9	612.325	434.8	128.15	154.25	78.4	635.0
200054_at	696.925	149.8	136.9	6100.9	612.325	167.5	128.15	154.25	78.4	320.8
200055_at	696.925	539.5	560.9	762.0	852.5	564.3	128.15	154.25	1746.8000000000002	939.0
200056_s_at	130.15	103.3	560.9	12061.25	384.8	83.5	1679.15	154.25	1746.8000000000002	195.3
200057_s_at	130.15	434.05	560.9	12061.25	384.8	1209.8	1679.15	85.9	1746.8000000000002	1362.0
200058_s_at	130.15	434.05	560.9	12061.25	384.8	444.0	1679.15	85.9	1746.8000000000002	402.65
200059_s_at	130.15	434.05	278.75	12061.25	472.15	893.3	1484.15	85.9	1746.8000000000002	402.65
200060_s_at	130.15	434.05	278.75	12061.25	472.15	512.65	1484.15	85.9	951.0	402.65
200061_s_at	130.15	434.05	696.925	12061.25	8365.5	512.65	1484.15	6531.5	7171.3	402.65
200062_s_at	130.15	434.05	696.925	12061.25	8365.5	512.65	1484.15	8176.5	6637.0	6643.8
200063_s_at	130.15	434.05	696.925	548.8	8365.5	288.9	240.9	2342.5	2321.8	1674.0
200064_at	130.15	434.05	696.925	548.8	8365.5	288.9	240.9	1990.3	2167.3	1800.8
200065_s_at	130.15	434.05	696.925	548.8	8365.5	288.9	240.9	1145.3	1455.8	1220.3
200066_at	130.15	434.05	696.925	548.8	954.9	329.15	367.175	338.8	447.8	383.5
200067_x_at	130.15	434.05	696.925	548.8	954.9	329.15	367.175	1038.0	1085.8	813.0
200068_s_at	433.8	434.05	696.925	750.0	954.9	329.15	367.175	623.3	487.15	1220.3
200069_at	157.8	292.9	696.925	750.0	954.9	329.15	367.175	623.3	487.15	233.3
200070_at	230.8	292.9	394.5	750.0	954.9	329.15	367.175	623.3	487.15	458.0
200071_at	147.8	292.9	394.5	750.0	954.9	329.15	354.425	623.3	487.15	288.0
200072_s_at	619.8	292.9	394.5	750.0	954.9	329.15	354.425	623.3	369.55	811.0
200073_s_at	171.5	292.9	394.5	750.0	954.9	329.15	428.5	623.3	369.55	109.3
200074_s_at	1722.8	292.9	394.5	750.0	7713.4	1386.5	2542.3	623.3	369.55	109.3
200075_s_at	161.5	292.9	394.5	127.825	7713.4	256.0	376.0	119.05000000000001	369.55	109.3
200076_s_at	261.8	292.9	394.5	127.825	7713.4	325.0	330.5	119.05000000000001	418.3	109.3
200077_s_at	2109.5	211.9	394.5	127.825	7713.4	2075.3	3903.8	119.05000000000001	4096.0	109.3
200078_s_at	255.3	211.9	394.5	127.825	7713.4	408.8	699.0	119.05000000000001	764.0	109.3
200079_s_at	508.5	211.9	394.5	127.825	7713.4	465.5	542.0	200.65	583.0	109.3
200080_s_at	951.3	211.9	394.5	127.825	7713.4	1459.0	556.4	200.65	2513.5	109.3
200081_s_at	183.25	211.9	394.5	127.825	7713.4	3700.0	556.4	200.65	6934.8	109.3
200082_s_at	183.25	211.9	6534.299999999999	127.825	7713.4	2777.5	556.4	4837.0	5185.5	4147.3
200083_at	183.25	211.9	6534.299999999999	126.9	2346.0	444.5	556.4	600.8	739.5	1424.175
200084_at	183.25	211.9	6534.299999999999	126.9	2346.0	475.3	556.4	624.8	613.0	133.0
200085_s_at	183.25	211.9	6534.299999999999	126.9	2346.0	388.3	556.4	525.5	706.0	133.0
200086_s_at	183.25	387.4	6534.299999999999	126.9	2346.0	5360.05	556.4	1394.3	1518.3	133.0
200087_s_at	183.25	387.4	392.15	126.9	2346.0	5360.05	406.4	110.65	751.5	133.0
200088_x_at	183.25	387.4	392.15	5415.8	2346.0	5360.05	406.4	110.65	8861.8	133.0
200089_s_at	183.25	387.4	4931.15	2273.3	904.65	5360.05	406.4	110.65	377.55	1792.0
200090_at	392.15	387.4	370.25	417.8	904.65	5360.05	406.4	110.65	377.55	519.3
200091_s_at	392.15	387.4	370.25	1973.4	904.65	5360.05	406.4	121.55000000000001	377.55	2181.0
200092_s_at	392.15	387.4	370.25	1973.4	904.65	5360.05	406.4	121.55000000000001	4905.3	3250.8
200093_s_at	392.15	387.4	370.25	1145.9	765.65	424.5	406.4	121.55000000000001	928.0	955.0
200094_s_at	392.15	387.4	370.25	1145.9	765.65	2188.0	406.4	530.15	560.25	291.775
200095_x_at	392.15	387.4	370.25	1145.9	765.65	6990.3	7432.9	530.15	560.25	291.775
200096_s_at	392.15	387.4	370.25	1145.9	765.65	610.3	7432.9	530.15	560.25	684.8
200097_s_at	392.15	578.3	370.25	1145.9	765.65	632.55	7432.9	530.15	560.25	298.15
200098_s_at	392.15	929.05	370.25	1145.9	765.65	632.55	7432.9	530.15	560.25	298.15
200099_s_at	392.15	929.05	370.25	874.3	765.65	632.55	7432.9	530.15	616.15	298.15
200593_s_at	392.15	929.05	370.25	874.3	12780.9	632.55	7432.9	394.9	616.15	623.3
200594_x_at	392.15	929.05	370.25	874.3	12780.9	632.55	7432.9	394.9	616.15	623.3
200595_s_at	392.15	929.05	370.25	874.3	12780.9	632.55	1626.5500000000002	394.9	616.15	413.65
200596_s_at	392.15	929.05	179.75	874.3	12780.9	632.55	1626.5500000000002	394.9	616.15	288.9
200597_at	392.15	929.05	179.75	874.3	12780.9	632.55	1626.5500000000002	394.9	616.15	288.9
200598_s_at	392.15	929.05	179.75	190.3	12780.9	632.55	1626.5500000000002	292.9	616.15	288.9
200599_s_at	354.3	929.05	179.75	190.3	12780.9	12182.15	1626.5500000000002	292.9	616.15	288.9
200600_at	510.3	929.05	179.75	190.3	12780.9	12182.15	1626.5500000000002	292.9	616.15	288.9
200601_at	254.3	929.05	179.75	190.3	12780.9	12182.15	1626.5500000000002	292.9	616.15	110.65
200602_at	73.3	929.05	179.75	190.3	12780.9	12182.15	6927.75	292.9	616.15	110.65
200603_at	201.5	929.05	179.75	190.3	12780.9	12182.15	6927.75	292.9	616.15	110.65
